program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
61       RING      semihonest  replicated-ring  3          0.33          30                 1                  0              25000            1000        0               3.31252              3.39                 11            101%       ~8005         0.057416        0.172248         2.19
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            1000        0               3.08221              3.15                 13            92%        ~8005         0.057416        0.172248         1.79
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            1000        0               3.32648              3.39                 13            87%        ~8005         0.057416        0.172248         1.81
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            1000        0               3.8656               3.94                 11            94%        ~8005         0.057416        0.172248         2.44
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            1000        0               3.62398              3.69                 11            93%        ~8005         0.057416        0.172248         2.16
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            1000        0               3.67475              3.74                 11            96%        ~8005         0.057416        0.172248         2.13
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            1000        0               3.3508               3.43                 11            98%        ~8005         0.057416        0.172248         2.23
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            1000        0               3.64944              3.73                 11            99%        ~8005         0.057416        0.172248         2.24
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            1000        0               3.79701              3.87                 11            94%        ~8005         0.057416        0.172248         2.54
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            1000        0               3.51979              3.59                 11            89%        ~8005         0.057416        0.172248         1.99
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            1000        0               3.50666              3.57                 10            102%       ~8005         0.057416        0.172248         2.39
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            1000        0               3.03687              3.11                 11            90%        ~8005         0.057416        0.172248         1.71
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            1000        0               3.48526              3.55                 11            85%        ~8005         0.057416        0.172248         1.93
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            1000        0               2.19587              2.27                 13            113%       ~8005         0.057416        0.172248         1.49
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            1000        0               3.30729              3.38                 13            84%        ~8005         0.057416        0.172248         1.69
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            1000        0               3.26639              3.34                 11            96%        ~8005         0.057416        0.172248         2.17
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            1000        0               3.5927               3.66                 13            98%        ~8005         0.057416        0.172248         2.27
61       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            1000        0               3.71379              3.78                 11            99%        ~8005         0.057416        0.172248         2.38
