program  c.domain  adv.model      protocol  partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
62       RING      semidishonest  semi2k    3          0.35          30                 1                  0              25000            10          0               1.01182              1.15                 32            228%       ~1908         14.1699         42.3617          1.43
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10          0               0.959685             1.09                 34            230%       ~1908         14.1699         42.3617          1.41
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10          0               1.01461              1.15                 32            230%       ~1908         14.1699         42.3617          1.46
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10          0               0.997491             1.14                 34            226%       ~1908         14.1699         42.3617          1.50
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10          0               0.990715             1.13                 32            216%       ~1908         14.1699         42.3617          1.45
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10          0               0.920355             1.05                 30            215%       ~1908         14.1699         42.3617          1.34
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10          0               1.01928              1.16                 35            225%       ~1908         14.1699         42.3617          1.39
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10          0               1.01633              1.16                 35            230%       ~1908         14.1699         42.3617          1.39
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10          0               0.943874             1.09                 32            217%       ~1908         14.1699         42.3617          1.44
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10          0               0.952739             1.08                 32            208%       ~1908         14.1699         42.3617          1.20
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            10          0               24.5513              26.20                32            10%        ~1908         14.1699         42.3617          1.60
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            10          0               24.5261              26.18                34            11%        ~1908         14.1699         42.3617          1.43
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            10          0               24.573               26.22                36            10%        ~1908         14.1699         42.3617          1.58
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            10          0               24.5796              26.24                34            10%        ~1908         14.1699         42.3617          1.41
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            10          0               24.536               26.20                34            10%        ~1908         14.1699         42.3617          1.54
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            10          0               24.5367              26.18                34            11%        ~1908         14.1699         42.3617          1.43
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            10          0               24.5187              26.18                36            10%        ~1908         14.1699         42.3617          1.69
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            10          0               24.581               26.25                35            10%        ~1908         14.1699         42.3617          1.51
62       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            10          0               24.5243              26.17                34            11%        ~1908         14.1699         42.3617          1.66
