program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
62       RING      semidishonest  semi2k           3          1.57          70                 1                  0              25000            100         0               39.9323              40.09                38            263%       ~40812        204.265         610.542          62.48
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         0               40.2919              40.43                38            266%       ~40812        204.265         610.542          63.77
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         0               40.1348              40.28                38            267%       ~40812        204.265         610.542          63.34
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         0               40.1305              40.28                39            266%       ~40812        204.265         610.542          63.32
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         0               40.1198              40.27                38            266%       ~40812        204.265         610.542          63.00
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         0               40.1981              40.34                34            266%       ~40812        204.265         610.542          62.69
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         0               40.1449              40.30                38            265%       ~40812        204.265         610.542          63.82
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         0               40.0944              40.24                34            264%       ~40812        204.265         610.542          62.94
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         0               40.2496              40.39                36            265%       ~40812        204.265         610.542          63.50
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         0               40.1253              40.27                39            265%       ~40812        204.265         610.542          62.10
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         1               83.2697              83.45                37            126%       ~40812        204.265         610.542          60.98
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         1               80.0261              80.39                36            130%       ~40812        204.265         610.542          61.00
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         1               82.3145              82.66                35            127%       ~40812        204.265         610.542          60.83
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         1               83.1798              83.33                39            125%       ~40812        204.265         610.542          60.39
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         1               78.7942              78.94                37            132%       ~40812        204.265         610.542          59.89
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         1               80.5685              82.18                37            128%       ~40812        204.265         610.542          61.65
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         1               83.7058              83.86                37            125%       ~40812        204.265         610.542          61.13
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         1               86.3668              86.79                38            121%       ~40812        204.265         610.542          60.69
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         1               82.5036              82.90                36            124%       ~40812        204.265         610.542          60.12
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         1               84.8694              86.31                36            121%       ~40812        204.265         610.542          61.83
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         2               139.903              140.07               38            74%        ~40812        204.265         610.542          60.59
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         2               146.833              147.21               36            69%        ~40812        204.265         610.542          59.93
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         2               143.215              143.59               36            72%        ~40812        204.265         610.542          60.22
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         2               143.914              144.28               39            71%        ~40812        204.265         610.542          59.91
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         2               139.279              140.52               39            74%        ~40812        204.265         610.542          59.62
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         2               151.128              151.72               35            68%        ~40812        204.265         610.542          60.67
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         2               145.6                146.26               38            71%        ~40812        204.265         610.542          60.34
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         2               147.279              148.47               40            69%        ~40812        204.265         610.542          59.38
62       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            100         2               135.323              135.51               37            76%        ~40812        204.265         610.542          59.82
