program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
psi;boolean_gmw;4;0;25000;100;0;47389.537;56.75;10880;567;41.049;44.223;658596;658596;62.933;143.639;18.128;18.128;137.484;137.484;0.000;Setup;Extension;491.774;141.735;46732.076
psi;boolean_gmw;4;0;25000;100;0;46126.339;55.33;10947;531;41.049;44.223;658596;658596;62.938;137.183;18.423;18.423;147.322;147.322;0.000;Setup;Extension;447.245;111.211;45556.458
psi;boolean_gmw;4;0;25000;100;0;44953.302;54.36;10885;527;41.049;44.223;658596;658596;56.830;61.488;16.907;16.907;57.386;57.386;0.000;Setup;Extension;389.146;106.657;44423.693
psi;boolean_gmw;4;0;25000;100;0;49128.579;58.45;10888;553;41.049;44.223;658596;658596;56.725;120.199;18.003;18.003;147.483;147.483;0.000;Setup;Extension;432.572;142.468;48543.864
psi;boolean_gmw;4;0;25000;100;0;47117.736;56.52;10917;525;41.049;44.223;658596;658596;69.238;164.394;18.333;18.333;191.484;191.484;0.000;Setup;Extension;519.302;110.107;46467.683
psi;boolean_gmw;4;0;25000;100;0;48122.042;57.49;11011;553;41.049;44.223;658596;658596;61.913;143.544;17.559;17.559;167.119;167.119;0.000;Setup;Extension;465.538;103.286;47541.855
psi;boolean_gmw;4;0;25000;100;0;44104.277;53.52;10916;597;41.049;44.223;658596;658596;39.517;63.271;16.317;16.317;64.531;64.531;0.000;Setup;Extension;400.110;141.412;43535.760
psi;boolean_gmw;4;0;25000;100;0;46423.193;55.74;10948;556;41.049;44.223;658596;658596;42.277;85.138;16.420;16.420;112.743;112.743;0.000;Setup;Extension;409.461;111.969;45889.641
psi;boolean_gmw;4;0;25000;100;0;47304.842;56.67;10899;542;41.049;44.223;658596;658596;41.110;246.130;16.852;16.852;262.480;262.480;0.000;Setup;Extension;563.541;110.344;46619.218
psi;boolean_gmw;4;0;25000;100;0;46893.579;56.21;10880;542;41.049;44.223;658596;658596;40.133;153.449;16.021;16.021;172.111;172.111;0.000;Setup;Extension;426.388;111.458;46341.539
psi;boolean_gmw;4;0;10000;100;0;43044.065;52.37;10880;590;41.049;44.223;658596;658596;64.741;58.225;18.421;18.421;26.194;26.194;0.000;Setup;Extension;407.056;111.474;42512.198
psi;boolean_gmw;4;0;10000;100;0;51234.763;60.47;10904;506;41.049;44.223;658596;658596;63.964;67.147;17.529;17.529;83.517;83.517;0.000;Setup;Extension;413.244;111.508;50698.447
psi;boolean_gmw;4;0;10000;100;0;51404.858;60.80;10907;537;41.049;44.223;658596;658596;60.078;147.165;17.785;17.785;145.275;145.275;0.000;Setup;Extension;454.894;104.974;50824.275
