program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
psi;boolean_gmw;4;0;25000;100;0;47389.537;56.75;10880;567;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;25000;100;0;46126.339;55.33;10947;531;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;25000;100;0;44953.302;54.36;10885;527;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;25000;100;0;49128.579;58.45;10888;553;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;25000;100;0;47117.736;56.52;10917;525;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;25000;100;0;48122.042;57.49;11011;553;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;25000;100;0;44104.277;53.52;10916;597;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;25000;100;0;46423.193;55.74;10948;556;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;25000;100;0;47304.842;56.67;10899;542;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;25000;100;0;46893.579;56.21;10880;542;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;10000;100;0;43044.065;52.37;10880;590;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;10000;100;0;51234.763;60.47;10904;506;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;10000;100;0;51404.858;60.80;10907;537;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;10000;100;0;44580.818;53.86;10899;572;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;10000;100;0;45162.901;54.47;10903;524;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;10000;100;0;48524.541;57.76;10885;558;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;10000;100;0;48284.801;57.54;10907;528;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;10000;100;0;47446.090;56.84;10891;512;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;10000;100;0;51123.098;60.58;10922;494;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;10000;100;0;47056.812;56.44;10891;515;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;1000;100;0;49028.430;58.41;10882;502;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;1000;100;0;49253.455;58.60;10892;525;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;1000;100;0;46444.085;55.72;10884;521;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;1000;100;0;45363.859;54.69;10907;538;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;1000;100;0;41063.828;50.28;10890;586;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;1000;100;0;45217.253;54.59;10880;549;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;1000;100;0;46129.765;55.54;10901;525;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;1000;100;0;52812.018;62.08;10923;484;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;1000;100;0;47224.426;56.61;10919;526;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;1000;100;0;51615.266;57.55;10922;544;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;100;100;0;46635.924;55.90;10936;569;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;100;100;0;51008.314;60.42;10915;479;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;100;100;0;45691.207;55.05;10933;537;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;100;100;0;46761.519;56.12;10928;505;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;100;100;0;50149.407;59.47;10941;506;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;100;100;0;49097.628;58.46;10926;552;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;100;100;0;47473.220;53.36;10967;545;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;100;100;0;44123.289;53.54;10928;599;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;100;100;0;45958.080;55.37;10915;532;41.049;44.223;658596;658596
psi;boolean_gmw;4;0;100;100;0;47366.569;56.72;10944;534;41.049;44.223;658596;658596
