program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
65;RING;semihonest;replicated-ring;3;43.36;787;1;0;25000;1;0;13.76;17.43;2500;569%;~14327;597.118;714.832;5.25
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;13.4098;17.18;2496;573%;~14327;597.118;714.832;4.65
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;13.7365;17.48;2495;560%;~14327;597.118;714.832;4.29
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;13.6908;17.23;2491;569%;~14327;597.118;714.832;3.93
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;13.8795;17.61;2495;557%;~14327;597.118;714.832;4.13
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;13.8504;17.30;2498;570%;~14327;597.118;714.832;3.88
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;13.6963;17.42;2501;568%;~14327;597.118;714.832;4.20
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;13.1275;16.36;2502;591%;~14327;597.118;714.832;4.18
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;14.1192;17.97;2494;549%;~14327;597.118;714.832;4.10
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;13.663;16.68;2499;584%;~14327;597.118;714.832;4.08
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;35.915;41.49;2492;303%;~14327;597.118;714.832;5.50
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;36.0273;40.90;2495;309%;~14327;597.118;714.832;6.71
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;35.9702;41.54;2499;306%;~14327;597.118;714.832;8.12
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;35.866;41.40;2487;306%;~14327;597.118;714.832;6.35
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;36.0629;41.63;2500;305%;~14327;597.118;714.832;7.27
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;36.0307;41.05;2497;307%;~14327;597.118;714.832;6.13
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;36.3304;41.75;2499;305%;~14327;597.118;714.832;7.42
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;36.3631;41.94;2498;303%;~14327;597.118;714.832;6.19
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;35.929;41.48;2501;305%;~14327;597.118;714.832;6.54
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;36.2037;41.71;2497;303%;~14327;597.118;714.832;6.71
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;36.141;40.76;2496;310%;~14327;597.118;714.832;6.02
