program  protocol     partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec
psi      boolean_gmw  3          0              25000            100         0               3561.622              7.18                 1221          342        10.705           13.879          44796            44796
psi      boolean_gmw  3          0              25000            100         0               5135.081              8.75                 1210          319        10.705           13.879          44796            44796
psi      boolean_gmw  3          0              25000            100         0               5887.932              9.50                 1221          363        10.705           13.879          44796            44796
psi      boolean_gmw  3          0              25000            100         0               4900.652              8.57                 1206          345        10.705           13.879          44796            44796
psi      boolean_gmw  3          0              25000            100         0               6235.403              9.85                 1227          347        10.705           13.879          44796            44796
psi      boolean_gmw  3          0              25000            100         0               4241.427              7.85                 1207          340        10.705           13.879          44796            44796
psi      boolean_gmw  3          0              25000            100         0               7348.146              10.96                1222          290        10.705           13.879          44796            44796
psi      boolean_gmw  3          0              25000            100         0               4346.128              7.96                 1218          352        10.705           13.879          44796            44796
psi      boolean_gmw  3          0              25000            100         0               4160.401              7.78                 1219          411        10.705           13.879          44796            44796
psi      boolean_gmw  3          0              25000            100         0               8221.794              11.88                1209          345        10.705           13.879          44796            44796
psi      boolean_gmw  3          25             25000            100         0               13391.365             14.18                1226          222        10.705           13.879          44796            44796
psi      boolean_gmw  3          25             25000            100         0               12866.231             13.65                1226          254        10.705           13.879          44796            44796
psi      boolean_gmw  3          25             25000            100         0               13368.830             14.17                1216          251        10.705           13.879          44796            44796
psi      boolean_gmw  3          25             25000            100         0               13476.896             14.23                1228          239        10.705           13.879          44796            44796
psi      boolean_gmw  3          25             25000            100         0               12676.277             13.47                1219          258        10.705           13.879          44796            44796
psi      boolean_gmw  3          25             25000            100         0               12989.990             13.76                1221          214        10.705           13.879          44796            44796
psi      boolean_gmw  3          25             25000            100         0               14332.247             15.12                1225          232        10.705           13.879          44796            44796
psi      boolean_gmw  3          25             25000            100         0               12862.671             13.65                1231          234        10.705           13.879          44796            44796
psi      boolean_gmw  3          25             25000            100         0               15694.572             16.49                1233          210        10.705           13.879          44796            44796
psi      boolean_gmw  3          25             25000            100         0               14186.532             14.97                1222          254        10.705           13.879          44796            44796
psi      boolean_gmw  3          50             25000            100         0               22091.784             23.05                1222          162        10.705           13.879          44796            44796
psi      boolean_gmw  3          50             25000            100         0               23464.646             24.43                1230          169        10.705           13.879          44796            44796
psi      boolean_gmw  3          50             25000            100         0               22148.188             23.11                1219          160        10.705           13.879          44796            44796
psi      boolean_gmw  3          50             25000            100         0               21443.980             22.42                1224          148        10.705           13.879          44796            44796
psi      boolean_gmw  3          50             25000            100         0               22260.402             23.25                1223          142        10.705           13.879          44796            44796
psi      boolean_gmw  3          50             25000            100         0               23242.204             24.21                1219          141        10.705           13.879          44796            44796
psi      boolean_gmw  3          50             25000            100         0               24019.702             24.97                1230          132        10.705           13.879          44796            44796
psi      boolean_gmw  3          50             25000            100         0               21918.920             22.89                1233          156        10.705           13.879          44796            44796
psi      boolean_gmw  3          50             25000            100         0               21738.200             22.70                1221          134        10.705           13.879          44796            44796
psi      boolean_gmw  3          50             25000            100         0               22377.169             23.37                1224          148        10.705           13.879          44796            44796
psi      boolean_gmw  3          75             25000            100         0               31205.914             32.33                1224          108        10.705           13.879          44796            44796
psi      boolean_gmw  3          75             25000            100         0               30208.242             31.35                1221          111        10.705           13.879          44796            44796
psi      boolean_gmw  3          75             25000            100         0               32466.922             33.61                1231          90         10.705           13.879          44796            44796
psi      boolean_gmw  3          75             25000            100         0               30513.083             31.66                1222          101        10.705           13.879          44796            44796
psi      boolean_gmw  3          75             25000            100         0               30331.297             31.47                1228          121        10.705           13.879          44796            44796
psi      boolean_gmw  3          75             25000            100         0               31335.693             32.51                1225          105        10.705           13.879          44796            44796
psi      boolean_gmw  3          75             25000            100         0               31138.752             32.28                1225          110        10.705           13.879          44796            44796
psi      boolean_gmw  3          75             25000            100         0               29890.571             31.03                1218          95         10.705           13.879          44796            44796
psi      boolean_gmw  3          75             25000            100         0               31305.795             32.44                1218          102        10.705           13.879          44796            44796
psi      boolean_gmw  3          75             25000            100         0               31039.468             32.16                1225          110        10.705           13.879          44796            44796
