comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000176      NA          .001321           .002336             .002848            .003055              5             1538
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000188      NA          .001280           .002309             .002838            .003055              4             1520
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000319      NA          .001329           .002386             .004009            .004166              4             1153
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000189      NA          .001296           .002346             .003002            .003333              4             1451
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000181      NA          .001253           .002291             .003126            .003333              4             1346
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000185      NA          .001266           .002445             .003756            .004166              5             1160
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000175      NA          .001388           .002372             .003492            .003888              4             1331
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000325      NA          .001248           .002357             .003705            .004166              4             1119
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000178      NA          .001263           .002400             .003715            .003888              5             1173
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000214      NA          .001310           .002304             .003791            .003888              4             1202
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000184      NA          .001271           .002448             .004348            .004722              5             1006
