comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.27          266                1                  0    1        32        59        1         0         5         5000      5000      0              25000            300         0           0           0               16            .005953      NA          .011216           1.754626            1.754615           1.760000             4             0
2.12          265                1                  0    1        32        59        1         0         5         5000      5000      0              25000            300         0           0           0               16            .017324      NA          .007798           .038637             .038634            .060000              4             23
2.16          265                1                  0    1        32        59        1         0         5         5000      5000      0              25000            300         0           0           0               16            .007262      NA          .009748           2.871179            2.871166           2.880000             4             0
2.13          266                1                  0    1        32        59        1         0         5         5000      5000      0              25000            300         0           0           0               16            .006606      NA          .010055           .026291             .026284            .030000              4             40
2.12          265                1                  0    1        32        59        1         0         5         5000      5000      0              25000            300         0           0           0               16            .016989      NA          .008278           .014331             .014323            .030000              4             33
2.26          266                1                  0    1        32        59        1         0         5         5000      5000      0              25000            300         0           0           0               16            .007332      NA          .008696           .074374             .074363            .080000              4             17
2.31          267                1                  0    1        32        59        1         0         5         5000      5000      0              25000            300         0           0           0               16            .007196      NA          .007702           .071201             .071193            .080000              4             15
2.13          265                1                  0    1        32        59        1         0         5         5000      5000      0              25000            300         0           0           0               16            .006577      NA          .008214           .095372             .095361            .100000              4             11
2.17          266                1                  0    1        32        59        1         0         5         5000      5000      0              25000            300         0           0           0               16            .012607      NA          .008645           .501959             .501950            .510000              4             2
2.09          266                1                  0    1        32        59        1         0         5         5000      5000      25             25000            300         0           0           0               16            .072858      NA          .019359           15.118308           15.118297          15.190000            4             0
2.14          265                1                  0    1        32        59        1         0         5         5000      5000      25             25000            300         0           0           0               16            .078452      NA          .010818           15.116334           15.116323          15.190000            4             0
2.13          265                1                  0    1        32        59        1         0         5         5000      5000      25             25000            300         0           0           0               16            .087524      NA          .011823           15.123654           15.123650          15.210000            4             0
2.28          265                1                  0    1        32        59        1         0         5         5000      5000      25             25000            300         0           0           0               16            .079538      NA          .014772           15.125650           15.125638          15.200000            4             0
2.11          266                1                  0    1        32        59        1         0         5         5000      5000      25             25000            300         0           0           0               16            .073493      NA          .010709           15.109134           15.109122          15.180000            4             0
2.19          267                1                  0    1        32        59        1         0         5         5000      5000      25             25000            300         0           0           0               16            .080717      NA          .010816           15.124244           15.124233          15.210000            4             0
2.11          265                1                  0    1        32        59        1         0         5         5000      5000      25             25000            300         0           0           0               16            .087940      NA          .011589           15.121167           15.121149          15.210000            4             0
2.30          267                1                  0    1        32        59        1         0         5         5000      5000      25             25000            300         0           0           0               16            .076813      NA          .010666           15.122250           15.122244          15.200000            4             0
2.26          265                1                  0    1        32        59        1         0         5         5000      5000      25             25000            300         0           0           0               16            .084683      NA          .013406           15.130573           15.130564          15.210000            4             0
2.11          266                1                  0    1        32        59        1         0         5         5000      5000      25             25000            300         0           0           0               16            .072243      NA          .016409           15.115769           15.115758          15.190000            4             0
2.31          266                1                  0    1        32        59        1         0         5         5000      5000      50             25000            300         0           0           0               16            .154428      NA          .011224           30.114824           30.114811          30.270000            4             0
2.36          266                1                  0    1        32        59        1         0         5         5000      5000      50             25000            300         0           0           0               16            .154209      NA          .012574           30.118453           30.118434          30.270000            4             0
2.11          266                1                  0    1        32        59        1         0         5         5000      5000      50             25000            300         0           0           0               16            .152695      NA          .016329           30.112770           30.112748          30.270000            4             0
2.22          265                1                  0    1        32        59        1         0         5         5000      5000      50             25000            300         0           0           0               16            .155795      NA          .013112           30.129409           30.129401          30.290000            4             0
2.11          266                1                  0    1        32        59        1         0         5         5000      5000      50             25000            300         0           0           0               16            .152825      NA          .011750           30.112704           30.112690          30.260000            4             0
2.32          266                1                  0    1        32        59        1         0         5         5000      5000      50             25000            300         0           0           0               16            .149769      NA          .012668           30.115313           30.115292          30.260000            4             0
2.24          266                1                  0    1        32        59        1         0         5         5000      5000      50             25000            300         0           0           0               16            .155403      NA          .011802           30.127898           30.127886          30.280000            4             0
2.30          266                1                  0    1        32        59        1         0         5         5000      5000      50             25000            300         0           0           0               16            .154024      NA          .015539           30.114967           30.114956          30.270000            4             0
2.26          266                1                  0    1        32        59        1         0         5         5000      5000      50             25000            300         0           0           0               16            .156741      NA          .013656           30.117699           30.117688          30.270000            4             0
2.25          265                1                  0    1        32        59        1         0         5         5000      5000      50             25000            300         0           0           0               16            .156995      NA          .012122           30.128988           30.128980          30.290000            4             0
2.27          266                1                  0    1        32        59        1         0         5         5000      5000      75             25000            300         0           0           0               16            .232575      NA          .010935           45.131930           45.131925          45.360000            4             0
2.12          265                1                  0    1        32        59        1         0         5         5000      5000      75             25000            300         0           0           0               16            .229905      NA          .014113           45.129642           45.129637          45.360000            4             0
2.32          266                1                  0    1        32        59        1         0         5         5000      5000      75             25000            300         0           0           0               16            .222836      NA          .018696           45.114093           45.114072          45.340000            4             0
2.26          264                1                  0    1        32        59        1         0         5         5000      5000      75             25000            300         0           0           0               16            .228460      NA          .011791           45.109032           45.109020          45.340000            4             0
2.13          266                1                  0    1        32        59        1         0         5         5000      5000      75             25000            300         0           0           0               16            .238854      NA          .011423           45.118810           45.118791          45.360000            4             0
2.25          267                1                  0    1        32        59        1         0         5         5000      5000      75             25000            300         0           0           0               16            .229033      NA          .016483           45.130586           45.130575          45.360000            4             0
