comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.19;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;0;16;.006542;NA;.010209;.105506;.105494;.110000;4;13
2.26;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;0;16;.006602;NA;.009216;.025054;.025049;.030000;4;42
2.08;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;0;16;.004396;NA;.010300;.709739;.709727;.710000;4;2
2.18;264;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;0;16;.006606;NA;.009218;.036457;.036452;.040000;4;28
2.23;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;0;16;.017117;NA;.007652;.022171;.022163;.040000;4;28
2.33;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;0;16;.017313;NA;.007228;.086333;.086324;.100000;4;11
2.21;264;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;0;16;.005392;NA;.009973;1.065636;1.065624;1.070000;4;1
2.23;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;0;16;.005107;NA;.010047;.031640;.031629;.040000;4;39
2.02;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;0;16;.006646;NA;.009848;.596308;.596287;.600000;4;2
2.24;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;0;16;.018127;NA;.008820;2.532303;2.532294;2.550000;4;0
2.30;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;1;16;.006544;NA;.010392;3.902791;3.902787;3.910000;4;0
2.34;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;1;16;1.003075;NA;.010208;2.314230;2.314227;3.320000;3;0
2.33;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;1;16;.011745;NA;.006958;3.020136;3.020133;3.030000;4;0
2.25;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;1;16;.017200;NA;.008320;1.741461;1.741444;1.760000;4;0
2.23;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;1;16;.007343;NA;.009331;5.317148;5.317136;5.320000;4;0
2.25;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;1;16;.007308;NA;.008539;4.699843;4.699839;4.710000;4;0
2.06;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;1;16;.012744;NA;.009479;4.151940;4.151930;4.160000;4;0
2.25;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;1;16;.007128;NA;.009576;1.387081;1.387071;1.390000;4;1
2.05;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;1;16;.006770;NA;.008545;2.127072;2.127061;2.130000;4;0
2.10;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;1;16;1.026454;NA;.018420;4.126635;4.126615;5.150000;4;0
2.07;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;2;16;1.017657;NA;.017139;4.925342;4.925321;5.940000;4;0
2.25;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;2;16;.006459;NA;.008246;4.434732;4.434722;4.440000;4;0
2.11;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;2;16;1.017569;NA;.010636;6.092498;6.092486;7.110000;4;0
2.06;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;2;16;1.017275;NA;.012477;3.515014;3.515008;4.530000;3;0
2.19;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;2;16;.006561;NA;.009180;6.465334;6.465323;6.470000;4;0
2.12;264;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;2;16;.017326;NA;.007651;5.226793;5.226790;5.240000;4;0
2.25;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;2;16;.011887;NA;.009745;3.617269;3.617249;3.630000;4;0
2.24;264;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;2;16;.006674;NA;.009122;6.158172;6.158161;6.160000;4;0
2.11;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;2;16;.007141;NA;.009406;4.186960;4.186949;4.190000;4;0
2.22;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;2;16;.006434;NA;.009945;5.859014;5.859002;5.860000;4;0
2.36;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;5;16;1.027455;NA;.012796;11.515579;11.515571;12.540000;4;0
2.22;264;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;5;16;1.013817;NA;.016906;12.258655;12.258644;13.270000;4;0
2.21;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;5;16;.017291;NA;.007085;12.355086;12.355078;12.370000;4;0
2.08;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;5;16;1.019905;NA;.013184;9.512006;9.511999;10.530000;4;0
2.16;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;5;16;1.011884;NA;.015494;11.235960;11.235939;12.250000;4;0
2.25;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;5;16;1.005976;NA;.014787;10.502008;10.502003;11.510000;4;0
2.29;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;5;16;1.021906;NA;.016870;13.089039;13.089027;14.110000;4;0
2.07;263;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;5;16;1.016219;NA;.012928;11.860836;11.860818;12.880000;4;0
2.13;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;5;16;1.032054;NA;.012908;14.927795;14.927776;15.960000;4;0
2.22;262;1;0;1;32;59;1;0;5;0;0;0;25000;300;0;0;5;16;.007293;NA;.008989;13.706571;13.706552;13.710000;4;0
2.19;262;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;0;16;.006557;NA;.010839;.087043;.087032;.090000;4;14
2.10;263;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;0;16;.006444;NA;.008595;2.532425;2.532410;2.540000;4;0
2.31;263;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;0;16;.006377;NA;.008909;.337711;.337700;.340000;4;3
2.22;263;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;0;16;.006503;NA;.009111;.095902;.095896;.100000;4;12
2.24;262;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;0;16;.006461;NA;.009666;.129313;.129309;.130000;3;9
2.26;263;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;0;16;.006572;NA;.009106;1.559208;1.559203;1.570000;4;0
2.18;263;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;0;16;.005575;NA;.009378;.181179;.181168;.180000;4;6
2.24;262;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;0;16;.006240;NA;.009247;2.780612;2.780600;2.790000;4;0
2.26;262;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;0;16;.006560;NA;.009956;.042170;.042159;.050000;4;28
2.33;263;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;0;16;.006751;NA;.007858;2.832326;2.832318;2.840000;4;0
2.16;263;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;1;16;.012688;NA;.007223;3.648530;3.648522;3.660000;4;0
2.21;263;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;1;16;.007423;NA;.009477;3.436043;3.436038;3.440000;4;0
2.18;262;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;1;16;1.010465;NA;.015484;3.269100;3.269080;4.280000;4;0
2.21;262;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;1;16;1.031219;NA;.014437;3.547818;3.547811;4.580000;4;0
2.21;262;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;1;16;.006681;NA;.009066;3.873186;3.873165;3.880000;4;0
2.07;264;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;1;16;.005555;NA;.009814;3.481255;3.481235;3.490000;4;0
2.07;262;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;1;16;1.019464;NA;.013572;2.181495;2.181483;3.200000;4;0
2.20;264;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;1;16;1.009944;NA;.014818;2.628647;2.628626;3.640000;4;0
2.05;262;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;1;16;.006180;NA;.008663;2.452184;2.452179;2.460000;4;0
2.09;263;1;0;1;32;60;1;0;5;0;0;0;25000;300;0;0;1;16;.006320;NA;.008718;1.532062;1.532050;1.540000;4;0
