comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.49;300;1;0;1;32;49;1;0;5;32;32;0;1000;0;0;16;.006275;NA;.038513;.112911;.112899;.120000;5;35
2.51;300;1;0;1;32;49;1;0;5;32;32;25;1000;0;0;16;.076510;NA;.029571;20.131060;20.131054;20.210000;4;0
2.50;300;1;0;1;32;49;1;0;5;32;32;50;1000;0;0;16;.150397;NA;.038411;40.222827;40.222813;40.370000;4;0
2.48;299;1;0;1;32;49;1;0;5;32;32;75;1000;0;0;16;.234294;NA;.039811;59.849241;59.849235;60.080000;4;0
2.52;300;1;0;1;32;50;1;0;5;32;32;0;1000;0;0;16;.006165;NA;.058600;.200970;.200957;.210000;5;29
2.51;301;1;0;1;32;50;1;0;5;32;32;25;1000;0;0;16;.078480;NA;.042956;5.467337;5.467332;5.540000;5;0
2.57;300;1;0;1;32;50;1;0;5;32;32;50;1000;0;0;16;.147739;NA;.045599;10.965518;10.965511;11.110000;5;0
2.54;300;1;0;1;32;50;1;0;5;32;32;75;1000;0;0;16;.223466;NA;.043600;15.509139;15.509125;15.730000;5;0
2.95;322;1;0;1;32;51;1;0;5;32;32;0;1000;0;0;16;.006347;NA;.063011;.085927;.085915;.090000;5;70
2.99;322;1;0;1;32;51;1;0;5;32;32;25;1000;0;0;16;.076120;NA;.055858;4.397428;4.397415;4.470000;6;1
2.99;322;1;0;1;32;51;1;0;5;32;32;50;1000;0;0;16;.151928;NA;.042735;8.157395;8.157383;8.310000;6;0
3.02;322;1;0;1;32;51;1;0;5;32;32;75;1000;0;0;16;.226511;NA;.055708;13.373161;13.373147;13.600000;5;0
