comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.49          299                1                  0    1        32        49        1         0         5         32        32        25000            100000      0           0           16            .051745      NA          2.301145          1.715442            1.715430           1.770000             123           132
2.50          300                1                  0    1        32        49        1         0         5         32        32        10000            100000      0           0           16            .049064      NA          2.369800          1.614554            1.614550           1.660000             124           145
2.49          299                1                  0    1        32        49        1         0         5         32        32        1000             100000      0           0           16            .072599      NA          2.216337          1.670671            1.670662           1.740000             123           129
2.49          300                1                  0    1        32        49        1         0         5         32        32        100              100000      0           0           16            .078125      NA          1.367541          5.550546            5.550541           5.630000             134           25
2.55          301                1                  0    1        32        50        1         0         5         32        32        25000            100000      0           0           16            .060836      NA          3.417385          1.965708            1.965702           2.030000             132           171
2.54          301                1                  0    1        32        50        1         0         5         32        32        10000            100000      0           0           16            .086174      NA          3.414977          2.005780            2.005767           2.090000             131           164
2.53          300                1                  0    1        32        50        1         0         5         32        32        1000             100000      0           0           16            .080872      NA          3.305617          1.853760            1.853751           1.930000             140           173
2.55          300                1                  0    1        32        50        1         0         5         32        32        100              100000      0           0           16            .096690      NA          1.901237          7.319593            7.319584           7.420000             166           26
2.92          322                1                  0    1        32        51        1         0         5         32        32        25000            100000      0           0           16            .104548      NA          5.137409          2.884650            2.884644           2.990000             180           175
2.97          322                1                  0    1        32        51        1         0         5         32        32        10000            100000      0           0           16            .118132      NA          5.230540          2.924289            2.924276           3.040000             177           175
2.92          322                1                  0    1        32        51        1         0         5         32        32        1000             100000      0           0           16            .117723      NA          5.124387          3.089211            3.089199           3.210000             180           162
2.96          322                1                  0    1        32        51        1         0         5         32        32        100              100000      0           0           16            .126402      NA          2.475751          11.964544           11.964531          12.100000            242           21
