program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
division;boolean_gmw;3;0;25000;10000;0;22620.848;28.59;6600;60;220.932;220.932;3196;3196;735.575;1179.883;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5155.004;1.046;17454.022
division;boolean_gmw;3;0;25000;10000;0;18753.977;24.71;6496;68;220.932;220.932;3196;3196;656.445;1653.674;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5387.734;1.284;13351.911
division;boolean_gmw;3;0;25000;10000;0;18777.740;24.79;6537;69;220.932;220.932;3196;3196;614.352;1254.847;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5122.849;0.899;13643.757
division;boolean_gmw;3;0;25000;10000;0;19695.316;25.64;6497;67;220.932;220.932;3196;3196;594.827;1228.309;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5125.360;0.898;14558.830
division;boolean_gmw;3;0;25000;10000;0;22943.908;28.96;6497;58;220.932;220.932;3196;3196;788.336;1321.147;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5364.787;1.217;17565.387
division;boolean_gmw;3;0;25000;10000;0;16857.266;22.81;6530;77;220.932;220.932;3196;3196;680.881;1164.063;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5100.961;0.803;11743.031
division;boolean_gmw;3;0;25000;10000;0;22526.428;28.47;6491;63;220.932;220.932;3196;3196;631.476;1649.631;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5895.341;1.193;16617.502
division;boolean_gmw;3;0;25000;10000;0;18986.074;24.94;6490;70;220.932;220.932;3196;3196;605.920;1361.399;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5329.470;0.526;13644.959
division;boolean_gmw;3;0;25000;10000;0;20336.631;26.30;6557;69;220.932;220.932;3196;3196;815.357;1597.131;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5652.700;0.785;14672.431
division;boolean_gmw;3;0;25000;10000;0;23136.878;29.08;6510;60;220.932;220.932;3196;3196;692.720;1651.713;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5396.029;0.952;17726.358
