program   protocol     partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec  multTripPresetup  multTripSetup  sharedPowerPresetup  sharedPowerSetup  sharedBitPresetup  sharedBitSetup  baseOT  otExtension  kk13OtExtension  preprocessingTime  gatesSetup  gatesOnline
division  boolean_gmw  3          0              25000            10000       0               18118.401             24.08                6496          74         220.932          220.932         3196             3196            946.043           1377.275       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5539.504           0.679       12568.701
division  boolean_gmw  3          0              25000            10000       0               23948.552             29.91                6498          59         220.932          220.932         3196             3196            948.541           1266.018       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5441.077           0.779       18497.000
division  boolean_gmw  3          0              25000            10000       0               22687.811             25.70                6532          71         220.932          220.932         3196             3196            808.078           1228.544       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5258.567           0.637       17417.515
division  boolean_gmw  3          0              25000            10000       0               17375.902             23.38                6499          69         220.932          220.932         3196             3196            727.419           1251.952       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5226.254           0.752       12137.940
division  boolean_gmw  3          0              25000            10000       0               18147.363             24.16                6493          71         220.932          220.932         3196             3196            735.857           1631.981       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5584.708           1.300       12545.768
division  boolean_gmw  3          0              25000            10000       0               20149.580             26.15                6531          68         220.932          220.932         3196             3196            632.597           1634.508       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5397.056           0.981       14740.651
division  boolean_gmw  3          0              25000            10000       0               21652.288             27.66                6498          66         220.932          220.932         3196             3196            811.899           1620.706       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5756.732           1.275       15879.104
division  boolean_gmw  3          0              25000            10000       0               16312.375             19.31                6532          88         220.932          220.932         3196             3196            686.788           1311.609       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5040.307           0.712       11261.606
division  boolean_gmw  3          0              25000            10000       0               17659.828             23.66                6499          70         220.932          220.932         3196             3196            782.724           1215.358       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5184.819           1.050       12460.872
division  boolean_gmw  3          0              25000            10000       0               18581.759             24.55                6554          69         220.932          220.932         3196             3196            816.682           1243.583       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5223.998           1.155       13343.360
division  boolean_gmw  3          0              25000            10000       1               35978.148             41.96                6697          41         220.932          220.932         3196             3196            554.947           1263.404       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5337.581           1.017       30628.303
