program   protocol     partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec
division  boolean_gmw  3          0              25000            10000       0               18118.401             24.08                6496          74         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       0               23948.552             29.91                6498          59         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       0               22687.811             25.70                6532          71         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       0               17375.902             23.38                6499          69         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       0               18147.363             24.16                6493          71         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       0               20149.580             26.15                6531          68         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       0               21652.288             27.66                6498          66         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       0               16312.375             19.31                6532          88         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       0               17659.828             23.66                6499          70         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       0               18581.759             24.55                6554          69         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       1               35978.148             41.96                6697          41         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       1               35890.632             41.85                6359          41         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       1               34608.349             40.58                6532          45         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       1               35626.052             41.60                6546          41         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       1               34154.677             40.70                6410          48         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       1               36428.326             42.45                6508          41         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       1               34565.683             40.73                6588          40         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       1               32168.592             38.34                6555          43         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       1               36940.447             43.12                6365          43         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       1               37810.543             43.96                6387          38         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       2               46988.965             49.95                6649          37         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       2               43359.804             46.55                6592          35         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       2               48138.505             51.10                6483          34         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       2               48624.815             54.63                6568          31         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       2               47941.593             53.90                6454          33         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       2               43724.937             50.09                6555          32         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       2               43461.508             49.62                6517          36         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       2               42117.123             45.08                6526          42         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       2               42075.226             48.09                6576          37         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       2               42144.017             48.27                6554          38         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       5               81597.867             88.17                6414          19         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       5               82520.547             85.46                6371          19         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       5               72067.520             78.29                6491          21         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       5               73229.512             77.42                6439          21         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       5               75565.937             81.51                6403          20         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       5               83583.540             89.73                6403          18         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       5               77134.038             83.05                6302          21         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       5               77407.244             83.35                6369          20         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       5               77358.225             83.33                6734          21         220.932          220.932         3196             3196
division  boolean_gmw  3          0              25000            10000       5               76396.894             82.51                6453          21         220.932          220.932         3196             3196
