program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
BitAnd;boolean_gmw;3;0;25000;10;0;226.139;3.25;30;11;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;25000;10;0;233.126;3.24;32;11;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;25000;10;0;137.403;0.15;33;198;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;25000;10;0;182.972;3.23;31;11;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;25000;10;0;140.567;0.17;30;173;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;25000;10;0;231.393;3.25;34;11;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;25000;10;0;98.502;0.12;29;249;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;25000;10;0;237.531;3.24;34;11;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;25000;10;0;101.579;3.12;32;11;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;25000;10;0;166.155;3.18;30;11;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;10000;10;0;99.782;3.12;30;11;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;10000;10;0;111.068;3.13;29;11;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;10000;10;0;106.595;3.11;31;11;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;10000;10;0;156.052;3.17;29;21;0.184;0.184;392;392
BitAnd;boolean_gmw;3;0;10000;10;0;112.443;3.13;26;11;0.184;0.184;392;392
