program        protocol     partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec  multTripPresetup  multTripSetup  sharedPowerPresetup  sharedPowerSetup  sharedBitPresetup  sharedBitSetup  baseOT  otExtension  kk13OtExtension  preprocessingTime  gatesSetup  gatesOnline
aes128_thesis  boolean_gmw  3          0              25000            100000      0               192901.160            281.68               274284        199        10071.414        10071.414       13190            13190           24892.505         50938.022      0.000                0.000             0.000              0.000           0.000   Setup        Extension        188864.419         7.945       4019.264
aes128_thesis  boolean_gmw  3          0              25000            100000      0               191726.240            280.46               274422        196        10071.414        10071.414       13190            13190           24898.272         51159.937      0.000                0.000             0.000              0.000           0.000   Setup        Extension        188302.977         7.854       3402.951
aes128_thesis  boolean_gmw  3          0              25000            100000      0               192352.164            281.07               274351        197        10071.414        10071.414       13190            13190           24818.252         50733.106      0.000                0.000             0.000              0.000           0.000   Setup        Extension        188556.625         7.965       3778.034
aes128_thesis  boolean_gmw  3          0              25000            100000      0               190482.072            278.79               274234        195        10071.414        10071.414       13190            13190           25336.481         50668.035      0.000                0.000             0.000              0.000           0.000   Setup        Extension        188306.301         7.233       2160.343
aes128_thesis  boolean_gmw  3          0              25000            100000      0               191578.966            277.33               274253        199        10071.414        10071.414       13190            13190           25058.637         51178.591      0.000                0.000             0.000              0.000           0.000   Setup        Extension        188893.196         4.655       2671.908
aes128_thesis  boolean_gmw  3          0              25000            100000      0               191258.325            279.71               274321        194        10071.414        10071.414       13190            13190           24619.303         50789.353      0.000                0.000             0.000              0.000           0.000   Setup        Extension        188410.122         7.885       2831.034
aes128_thesis  boolean_gmw  3          0              25000            100000      0               192392.770            280.93               274293        196        10071.414        10071.414       13190            13190           24883.760         50750.238      0.000                0.000             0.000              0.000           0.000   Setup        Extension        188897.193         7.316       3478.292
aes128_thesis  boolean_gmw  3          0              25000            100000      0               191687.267            280.42               274289        196        10071.414        10071.414       13190            13190           25333.795         50786.637      0.000                0.000             0.000              0.000           0.000   Setup        Extension        188706.151         7.835       2963.249
aes128_thesis  boolean_gmw  3          0              25000            100000      0               191513.135            280.12               274440        198        10071.414        10071.414       13190            13190           24820.899         50690.878      0.000                0.000             0.000              0.000           0.000   Setup        Extension        189468.140         4.943       2028.134
aes128_thesis  boolean_gmw  3          0              25000            100000      0               191699.620            280.42               274259        196        10071.414        10071.414       13190            13190           24635.043         50856.943      0.000                0.000             0.000              0.000           0.000   Setup        Extension        189901.077         7.840       1781.250
