program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
54       BINARY    semihonest     replicated-bin  3          36.32         1699               15                 0              25000            10000       0               0.026295             0.38                 84            89%        ~7            0.041288        0.123864         0.10
54       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 0              25000            10000       0               0.0199319            0.37                 82            90%        ~7            0.041288        0.123864         0.10
54       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 0              25000            10000       0               0.0210521            0.37                 83            91%        ~7            0.041288        0.123864         0.11
54       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 0              25000            10000       0               0.0209357            0.38                 86            89%        ~7            0.041288        0.123864         0.10
54       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 0              25000            10000       0               0.0209687            0.37                 84            92%        ~7            0.041288        0.123864         0.12
54       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 0              25000            10000       0               0.0204314            0.38                 84            90%        ~7            0.041288        0.123864         0.11
54       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 0              25000            10000       0               0.0293167            0.40                 84            84%        ~7            0.041288        0.123864         0.13
54       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 0              25000            10000       0               0.0202596            0.38                 84            91%        ~7            0.041288        0.123864         0.11
54       BINARY    semidishonest  semi-bin        3          36.32         1699               15                 0              25000            10000       0               6.64817              6.97                 93            256%       ~6919         12.1141         36.1798          10.63
54       BINARY    semidishonest  semi-bin        3          NA            NA                 NA                 0              25000            10000       0               6.77067              7.09                 92            257%       ~6919         12.1141         36.1798          10.62
54       BINARY    semidishonest  semi-bin        3          NA            NA                 NA                 0              25000            10000       0               6.66632              6.98                 94            258%       ~6919         12.1141         36.1798          10.89
54       BINARY    semidishonest  semi-bin        3          NA            NA                 NA                 0              25000            10000       0               6.75214              7.07                 94            257%       ~6919         12.1141         36.1798          10.81
54       BINARY    semidishonest  semi-bin        3          NA            NA                 NA                 0              25000            10000       0               6.83012              7.15                 92            258%       ~6919         12.1141         36.1798          11.11
54       BINARY    semidishonest  semi-bin        3          NA            NA                 NA                 0              25000            10000       0               6.70498              7.02                 94            250%       ~6919         12.1141         36.1798          10.48
54       BINARY    semidishonest  semi-bin        3          NA            NA                 NA                 0              25000            10000       0               6.6962               7.01                 94            228%       ~6919         12.1141         36.1798          9.79
54       BINARY    semidishonest  semi-bin        3          NA            NA                 NA                 0              25000            10000       0               6.78489              7.12                 92            258%       ~6919         12.1141         36.1798          10.68
