program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
54;BINARY;semihonest;replicated-bin;3;1.43;77;1;0;25000;10000;0;0.00421886;0.07;11;55%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00403083;0.07;12;55%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00434226;0.07;10;48%;~7;0.002538;0.007614;0.00
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00382489;0.06;10;46%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00482515;0.08;11;44%;~7;0.002538;0.007614;0.00
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00465939;0.07;11;54%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.0038001;0.07;12;54%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00470234;0.07;11;54%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00383274;0.08;10;39%;~7;0.002538;0.007614;0.00
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00375808;0.07;13;56%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;10000;10000;0;0.00380425;0.07;10;42%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;10000;10000;0;0.00352947;0.07;10;40%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;10000;10000;0;0.0040404;0.07;11;53%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;10000;10000;0;0.0037443;0.07;10;50%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;10000;10000;0;0.00376686;0.08;11;52%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;10000;10000;0;0.0042985;0.07;10;53%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;10000;10000;0;0.00443667;0.06;11;50%;~7;0.002538;0.007614;0.00
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;10000;10000;0;0.00415714;0.07;11;56%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;10000;10000;0;0.00389419;0.07;10;54%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;10000;10000;0;0.00440981;0.08;10;45%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;1000;10000;0;0.00392907;0.08;10;45%;~7;0.002538;0.007614;0.00
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;1000;10000;0;0.00411916;0.07;10;53%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;1000;10000;0;0.0042878;0.08;13;52%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;1000;10000;0;0.00418033;0.08;11;49%;~7;0.002538;0.007614;0.02
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;1000;10000;0;0.00457467;0.07;10;52%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;1000;10000;0;0.00476538;0.08;11;43%;~7;0.002538;0.007614;0.00
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;1000;10000;0;0.00423472;0.07;10;51%;~7;0.002538;0.007614;0.00
