program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
52       RING      semihonest  replicated-ring  3          1.04          62                 1                  0              25000            10000       0               1.47511              1.57                 87            83%        ~240          15.3951         46.1853          0.10
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.53522              1.63                 87            81%        ~240          15.3951         46.1853          0.08
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.46121              1.55                 87            87%        ~240          15.3951         46.1853          0.13
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.5345               1.63                 89            86%        ~240          15.3951         46.1853          0.10
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.52942              1.63                 89            82%        ~240          15.3951         46.1853          0.15
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.45236              1.55                 87            84%        ~240          15.3951         46.1853          0.11
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.45858              1.56                 87            84%        ~240          15.3951         46.1853          0.09
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.46239              1.56                 87            84%        ~240          15.3951         46.1853          0.10
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.45032              1.54                 87            85%        ~240          15.3951         46.1853          0.11
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.48582              1.58                 87            84%        ~240          15.3951         46.1853          0.12
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            10000       0               1.45423              1.55                 89            82%        ~240          15.3951         46.1853          0.12
