program  c.domain  adv.model      protocol  partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
52       RING      semidishonest  semi2k    3          1.08          54                 1                  0              25000            1000        0               70.6417              70.79                97            265%       ~70214        809.461         2419.41          110.05
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               70.4781              70.62                93            265%       ~70214        809.461         2419.41          109.67
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               70.4307              70.57                93            263%       ~70214        809.461         2419.41          108.98
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               70.2876              70.43                89            265%       ~70214        809.461         2419.41          109.09
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               70.5113              70.65                85            263%       ~70214        809.461         2419.41          108.74
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               70.4934              70.64                90            264%       ~70214        809.461         2419.41          108.15
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               70.1099              70.25                91            265%       ~70214        809.461         2419.41          108.43
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               70.5746              70.72                93            264%       ~70214        809.461         2419.41          109.02
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               70.3753              70.52                85            265%       ~70214        809.461         2419.41          109.67
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               70.4946              70.63                90            265%       ~70214        809.461         2419.41          110.26
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            1000        0               70.4658              70.60                93            263%       ~70214        809.461         2419.41          108.34
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            1000        0               70.548               70.69                90            264%       ~70214        809.461         2419.41          109.47
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            1000        0               70.7071              70.85                95            265%       ~70214        809.461         2419.41          109.98
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            1000        0               70.3939              70.54                86            263%       ~70214        809.461         2419.41          107.85
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            1000        0               70.4566              70.60                99            263%       ~70214        809.461         2419.41          107.26
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            1000        0               70.2342              70.38                93            263%       ~70214        809.461         2419.41          107.56
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            1000        0               70.2579              70.40                93            264%       ~70214        809.461         2419.41          107.66
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            1000        0               70.4402              70.59                93            263%       ~70214        809.461         2419.41          108.08
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            1000        0               70.5381              70.68                91            264%       ~70214        809.461         2419.41          108.34
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            1000        0               70.1964              70.34                93            263%       ~70214        809.461         2419.41          107.42
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             1000        0               75.3543              75.49                90            252%       ~70214        809.461         2419.41          109.22
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             1000        0               74.9558              75.11                94            253%       ~70214        809.461         2419.41          108.44
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             1000        0               75.0891              75.24                90            252%       ~70214        809.461         2419.41          108.79
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             1000        0               74.7809              74.92                89            252%       ~70214        809.461         2419.41          108.51
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             1000        0               74.9206              75.06                101           253%       ~70214        809.461         2419.41          108.32
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             1000        0               75.0943              75.24                91            253%       ~70214        809.461         2419.41          108.57
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             1000        0               75.0081              75.16                95            253%       ~70214        809.461         2419.41          108.49
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             1000        0               75.209               75.36                93            252%       ~70214        809.461         2419.41          107.19
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             1000        0               75.3383              75.49                91            252%       ~70214        809.461         2419.41          108.40
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             1000        0               75.3366              75.48                92            253%       ~70214        809.461         2419.41          108.51
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              100              1000        0               109.467              109.61               89            172%       ~70214        809.461         2419.41          108.75
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              100              1000        0               109.339              109.49               95            172%       ~70214        809.461         2419.41          107.89
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              100              1000        0               109.108              109.26               91            172%       ~70214        809.461         2419.41          107.62
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              100              1000        0               109.05               109.20               98            172%       ~70214        809.461         2419.41          107.14
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              100              1000        0               112.918              113.07               93            166%       ~70214        809.461         2419.41          107.61
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              100              1000        0               109.508              109.65               95            172%       ~70214        809.461         2419.41          107.19
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              100              1000        0               109.236              109.38               95            172%       ~70214        809.461         2419.41          108.89
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              100              1000        0               109.063              109.22               92            171%       ~70214        809.461         2419.41          106.26
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              100              1000        0               109.078              109.22               89            172%       ~70214        809.461         2419.41          108.01
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              100              1000        0               109.237              109.38               92            171%       ~70214        809.461         2419.41          106.92
