program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
51       FIELD     semihonest     shamir            3          2.95          153                1                  0              25000            1000000     0               0.288547             0.54                 236           721%       ~45           16.0005         48.0007          0.27
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              25000            1000000     0               0.321487             0.56                 236           789%       ~45           16.0005         48.0007          0.39
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              25000            1000000     0               0.287629             0.56                 236           694%       ~45           16.0005         48.0007          0.33
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              25000            1000000     0               0.295546             0.55                 239           724%       ~45           16.0005         48.0007          0.36
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              25000            1000000     0               0.315238             0.57                 237           760%       ~45           16.0005         48.0007          0.32
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              25000            1000000     0               0.300102             0.53                 241           775%       ~45           16.0005         48.0007          0.29
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              25000            1000000     0               0.312374             0.55                 240           721%       ~45           16.0005         48.0007          0.25
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              25000            1000000     0               0.297689             0.55                 241           717%       ~45           16.0005         48.0007          0.26
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              25000            1000000     0               0.305225             0.58                 238           677%       ~45           16.0005         48.0007          0.27
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              25000            1000000     0               0.296676             0.53                 240           746%       ~45           16.0005         48.0007          0.27
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              10000            1000000     0               0.305984             0.56                 240           739%       ~45           16.0005         48.0007          0.43
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              10000            1000000     0               0.295888             0.53                 239           756%       ~45           16.0005         48.0007          0.34
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              10000            1000000     0               0.313567             0.54                 239           789%       ~45           16.0005         48.0007          0.36
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              10000            1000000     0               0.307678             0.56                 243           736%       ~45           16.0005         48.0007          0.30
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              10000            1000000     0               0.310011             0.56                 239           753%       ~45           16.0005         48.0007          0.30
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              10000            1000000     0               0.30697              0.55                 239           789%       ~45           16.0005         48.0007          0.40
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              10000            1000000     0               0.313831             0.56                 237           736%       ~45           16.0005         48.0007          0.32
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              10000            1000000     0               0.303443             0.54                 239           796%       ~45           16.0005         48.0007          0.30
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              10000            1000000     0               0.293005             0.55                 234           731%       ~45           16.0005         48.0007          0.39
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              10000            1000000     0               0.291007             0.55                 241           759%       ~45           16.0005         48.0007          0.37
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000             1000000     0               0.407554             0.67                 237           636%       ~45           16.0005         48.0007          0.43
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000             1000000     0               0.408006             0.66                 239           657%       ~45           16.0005         48.0007          0.38
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000             1000000     0               0.390864             0.66                 236           640%       ~45           16.0005         48.0007          0.48
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000             1000000     0               0.389092             0.63                 237           638%       ~45           16.0005         48.0007          0.31
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000             1000000     0               0.391064             0.63                 235           647%       ~45           16.0005         48.0007          0.30
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000             1000000     0               0.39158              0.65                 240           629%       ~45           16.0005         48.0007          0.42
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000             1000000     0               0.380292             0.59                 239           673%       ~45           16.0005         48.0007          0.28
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000             1000000     0               0.396565             0.66                 240           646%       ~45           16.0005         48.0007          0.26
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000             1000000     0               0.401432             0.65                 238           652%       ~45           16.0005         48.0007          0.48
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000             1000000     0               0.399806             0.69                 239           636%       ~45           16.0005         48.0007          0.34
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              100              1000000     0               1.56363              1.82                 242           242%       ~45           16.0005         48.0007          0.45
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              100              1000000     0               1.57363              1.86                 238           235%       ~45           16.0005         48.0007          0.46
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              100              1000000     0               1.54497              1.81                 238           234%       ~45           16.0005         48.0007          0.41
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              100              1000000     0               1.55371              1.83                 239           222%       ~45           16.0005         48.0007          0.31
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              100              1000000     0               1.56389              1.84                 242           235%       ~45           16.0005         48.0007          0.42
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              100              1000000     0               1.55871              1.83                 242           244%       ~45           16.0005         48.0007          0.34
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              100              1000000     0               1.55409              1.82                 244           230%       ~45           16.0005         48.0007          0.40
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              100              1000000     0               1.57233              1.82                 235           228%       ~45           16.0005         48.0007          0.35
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              100              1000000     0               1.5594               1.81                 242           239%       ~45           16.0005         48.0007          0.40
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              100              1000000     0               1.5552               1.82                 240           239%       ~45           16.0005         48.0007          0.45
51       FIELD     semihonest     replicated-field  3          2.95          153                1                  0              25000            1000000     0               0.170409             0.47                 304           410%       ~30           16.0002         48.0007          0.24
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              25000            1000000     0               0.167724             0.48                 298           489%       ~30           16.0002         48.0007          0.40
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              25000            1000000     0               0.153249             0.46                 300           424%       ~30           16.0002         48.0007          0.22
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              25000            1000000     0               0.15512              0.47                 296           428%       ~30           16.0002         48.0007          0.21
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              25000            1000000     0               0.18264              0.52                 298           464%       ~30           16.0002         48.0007          0.54
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              25000            1000000     0               0.153044             0.46                 301           463%       ~30           16.0002         48.0007          0.28
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              25000            1000000     0               0.144794             0.43                 301           487%       ~30           16.0002         48.0007          0.30
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              25000            1000000     0               0.152538             0.45                 300           456%       ~30           16.0002         48.0007          0.31
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              25000            1000000     0               0.157449             0.48                 300           425%       ~30           16.0002         48.0007          0.27
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              25000            1000000     0               0.142585             0.46                 305           447%       ~30           16.0002         48.0007          0.19
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              10000            1000000     0               0.165001             0.47                 298           480%       ~30           16.0002         48.0007          0.45
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              10000            1000000     0               0.152685             0.48                 293           493%       ~30           16.0002         48.0007          0.44
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              10000            1000000     0               0.161669             0.46                 295           473%       ~30           16.0002         48.0007          0.44
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              10000            1000000     0               0.171786             0.49                 305           431%       ~30           16.0002         48.0007          0.29
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              10000            1000000     0               0.158375             0.45                 305           484%       ~30           16.0002         48.0007          0.30
