program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)
52       RING      semidishonest  semi2k           3          0.77          37                 1                  0              25000            10000       0               100.233              100.55               716           1453%      ~442780       108241          323607           464.63           NA
52       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            10000       0               99.7562              100.11               709           1447%      ~442780       108241          323607           461.85           NA
52       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            10000       0               98.8669              99.15                714           1450%      ~442780       108241          323607           460.62           NA
52       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            10000       0               98.7428              99.08                710           1455%      ~442780       108241          323607           461.81           NA
52       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            10000       0               100.169              100.51               717           1451%      ~442780       108241          323607           474.54           NA
52       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            10000       0               99.7108              100.06               726           1450%      ~442780       108241          323607           463.04           NA
52       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            10000       0               100.651              101.00               728           1444%      ~442780       108241          323607           469.25           NA
52       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            10000       0               99.5364              99.87                708           1450%      ~442780       108241          323607           462.50           NA
52       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              25000            10000       0               100.541              100.88               706           1448%      ~442780       108241          323607           466.91           NA
52       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             25000            10000       0               604.535              606.30               744           362%       ~442780       108241          323607           599.55           NA
52       RING      semihonest     replicated-ring  3          0.77          37                 1                  0              25000            10000       0               1.86195              2.01                 130           771%       ~3260         163.612         490.837          1.47             NA
52       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.87761              2.04                 129           766%       ~3260         163.612         490.837          1.37             NA
52       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.86381              2.00                 128           770%       ~3260         163.612         490.837          1.50             NA
52       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.86184              1.99                 129           774%       ~3260         163.612         490.837          1.59             NA
52       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.85823              2.00                 130           776%       ~3260         163.612         490.837          1.54             NA
52       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.86952              2.00                 133           771%       ~3260         163.612         490.837          1.46             NA
52       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.88088              2.04                 132           761%       ~3260         163.612         490.837          1.65             NA
52       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.85232              1.99                 130           777%       ~3260         163.612         490.837          1.60             NA
52       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.87721              2.01                 130           765%       ~3260         163.612         490.837          1.49             NA
52       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.78541              10.78                127           264%       ~3260         163.612         490.837          2.15             NA
