program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)
53       RING      semihonest  replicated-ring  3          0.30          30                 1                  0              25000            10000       0               0.178812             0.33                 100           460%       ~240          15.8715         47.6146          0.25             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               0.183134             0.34                 102           435%       ~240          15.8715         47.6146          0.16             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               0.162261             0.30                 100           449%       ~240          15.8715         47.6146          0.18             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               0.178555             0.32                 99            444%       ~240          15.8715         47.6146          0.18             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               0.16006              0.28                 97            512%       ~240          15.8715         47.6146          0.28             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               0.172852             0.30                 99            446%       ~240          15.8715         47.6146          0.24             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               0.170932             0.32                 99            460%       ~240          15.8715         47.6146          0.20             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               0.163648             0.30                 98            461%       ~240          15.8715         47.6146          0.18             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               0.176829             0.32                 98            455%       ~240          15.8715         47.6146          0.22             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               1.25534              3.24                 99            80%        ~240          15.8715         47.6146          0.35             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               1.25729              3.23                 99            81%        ~240          15.8715         47.6146          0.30             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               1.25783              3.24                 98            82%        ~240          15.8715         47.6146          0.26             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               1.27151              3.26                 98            81%        ~240          15.8715         47.6146          0.31             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               1.25548              3.24                 100           81%        ~240          15.8715         47.6146          0.35             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               1.25801              3.25                 99            82%        ~240          15.8715         47.6146          0.38             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               1.2662               3.24                 96            81%        ~240          15.8715         47.6146          0.28             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               1.25469              3.24                 99            80%        ~240          15.8715         47.6146          0.32             NA
53       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               1.26168              3.25                 95            82%        ~240          15.8715         47.6146          0.39             NA
