program  c.domain  adv.model      protocol  partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)
52       RING      semidishonest  semi2k    3          0.63          37                 1                  0              25000            10000       0               100.121              100.34               708           1455%      ~442780       108241          323607           465.95           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10000       0               100.098              100.43               725           1447%      ~442780       108241          323607           464.34           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10000       0               99.7173              100.06               708           1448%      ~442780       108241          323607           463.22           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10000       0               99.9673              100.30               721           1452%      ~442780       108241          323607           467.01           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10000       0               98.3631              98.70                715           1454%      ~442780       108241          323607           459.03           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10000       0               100.491              100.83               706           1450%      ~442780       108241          323607           467.06           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10000       0               99.6967              100.02               728           1450%      ~442780       108241          323607           464.95           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10000       0               99.9087              100.26               715           1447%      ~442780       108241          323607           473.44           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10000       0               99.3055              99.64                713           1449%      ~442780       108241          323607           467.21           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            10000       0               100.87               101.21               723           1448%      ~442780       108241          323607           464.94           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            10000       0               107.177              107.51               709           1399%      ~442780       108241          323607           463.66           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            10000       0               106.382              106.75               704           1402%      ~442780       108241          323607           458.49           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            10000       0               107.65               107.99               705           1396%      ~442780       108241          323607           470.49           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            10000       0               107.506              107.85               711           1389%      ~442780       108241          323607           463.95           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            10000       0               108.735              109.07               705           1400%      ~442780       108241          323607           468.53           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            10000       0               107.175              107.50               722           1400%      ~442780       108241          323607           462.52           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            10000       0               106.415              106.76               735           1401%      ~442780       108241          323607           461.34           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            10000       0               106.606              106.93               723           1404%      ~442780       108241          323607           467.06           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            10000       0               106.785              107.12               704           1401%      ~442780       108241          323607           461.13           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              10000            10000       0               106.628              106.97               695           1400%      ~442780       108241          323607           466.94           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             10000       0               559.861              560.21               733           429%       ~442780       108241          323607           739.25           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             10000       0               538.257              538.58               749           447%       ~442780       108241          323607           735.48           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             10000       0               566.92               567.26               745           420%       ~442780       108241          323607           718.58           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             10000       0               546.837              547.10               745           439%       ~442780       108241          323607           734.08           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             10000       0               557.289              557.56               747           429%       ~442780       108241          323607           731.02           NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              1000             10000       0               532.925              533.24               734           452%       ~442780       108241          323607           734.93           NA
