program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s);Preprocessing Time(s)
62;RING;semihonest;replicated-ring;3;14.91;448;4;0;25000;100;0;1.13984;1.32;42;83%;~765;10.4267;31.2801;0.16;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;1.10527;1.28;42;80%;~765;10.4267;31.2801;0.13;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;1.17413;1.35;40;89%;~765;10.4267;31.2801;0.19;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;1.17367;1.34;40;88%;~765;10.4267;31.2801;0.22;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;1.16317;1.35;39;88%;~765;10.4267;31.2801;0.17;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;1.13447;1.32;40;89%;~765;10.4267;31.2801;0.12;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;1.14697;1.31;42;89%;~765;10.4267;31.2801;0.19;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;1.12817;1.30;40;81%;~765;10.4267;31.2801;0.14;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;1.1432;1.33;39;87%;~765;10.4267;31.2801;0.19;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;1.12598;1.30;38;86%;~765;10.4267;31.2801;0.14;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;1;1.2465;2.69;40;47%;~765;10.4267;31.2801;0.20;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;1;1.48526;2.69;41;46%;~765;10.4267;31.2801;0.19;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;1;1.27725;2.68;40;45%;~765;10.4267;31.2801;0.16;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;1;1.71959;1.86;40;65%;~765;10.4267;31.2801;0.17;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;1;1.55885;1.95;37;65%;~765;10.4267;31.2801;0.19;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;1;1.21645;2.41;37;49%;~765;10.4267;31.2801;0.20;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;1;1.45785;2.68;39;46%;~765;10.4267;31.2801;0.20;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;1;2.05941;2.24;40;59%;~765;10.4267;31.2801;0.17;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;1;2.28972;2.92;39;48%;~765;10.4267;31.2801;0.18;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;1;1.26089;1.86;39;64%;~765;10.4267;31.2801;0.17;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;2;2.05725;3.52;40;39%;~765;10.4267;31.2801;0.22;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;2;2.10706;3.55;42;37%;~765;10.4267;31.2801;0.19;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;2;3.45982;7.74;40;19%;~765;10.4267;31.2801;0.18;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;2;1.98247;3.40;37;39%;~765;10.4267;31.2801;0.19;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;2;2.01131;2.88;40;49%;~765;10.4267;31.2801;0.20;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;2;1.37043;2.56;40;48%;~765;10.4267;31.2801;0.18;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;2;1.83284;4.55;41;31%;~765;10.4267;31.2801;0.20;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;2;2.60395;2.99;39;45%;~765;10.4267;31.2801;0.20;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;2;2.05716;4.28;42;30%;~765;10.4267;31.2801;0.18;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;2;2.30154;3.51;37;38%;~765;10.4267;31.2801;0.15;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;5;8.4778;12.39;42;14%;~765;10.4267;31.2801;0.22;128
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;5;9.0204;11.33;40;15%;~765;10.4267;31.2801;0.18;128
