program            partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  Bytes Send  runtime_external(s)  peakRAM(MiB)  System Time(s)
Benchmarks/BitAND  3          0              25000            10000       0               0:00:16.268          1519867     16.77                477           4.13
Benchmarks/BitAND  3          0              25000            10000       0               0:00:16.726          1519867     17.02                475           4.10
Benchmarks/BitAND  3          0              25000            10000       0               0:00:16.001          1519867     16.32                460           4.22
Benchmarks/BitAND  3          0              25000            10000       0               0:00:16.836          1519867     17.12                428           4.23
Benchmarks/BitAND  3          0              25000            10000       0               0:00:16.480          1519867     17.06                476           4.21
Benchmarks/BitAND  3          0              25000            10000       0               0:00:16.538          1519867     16.80                487           4.20
Benchmarks/BitAND  3          0              25000            10000       0               0:00:16.546          1519867     17.01                422           4.26
Benchmarks/BitAND  3          0              25000            10000       0               0:00:16.596          1519867     16.89                478           4.25
Benchmarks/BitAND  3          0              25000            10000       0               0:00:16.522          1519867     16.90                467           4.26
Benchmarks/BitAND  3          0              25000            10000       0               0:00:16.282          1519867     16.57                492           4.36
Benchmarks/BitAND  3          0              25000            10000       1               0:00:16.725          1519867     17.15                466           4.28
Benchmarks/BitAND  3          0              25000            10000       1               0:00:17.662          1519867     17.92                475           4.07
Benchmarks/BitAND  3          0              25000            10000       1               0:00:16.819          1519867     17.13                450           4.20
Benchmarks/BitAND  3          0              25000            10000       1               0:00:16.153          1519867     17.07                468           4.16
Benchmarks/BitAND  3          0              25000            10000       1               0:00:16.877          1519867     17.07                466           4.18
Benchmarks/BitAND  3          0              25000            10000       1               0:00:17.096          1519867     17.35                467           4.22
Benchmarks/BitAND  3          0              25000            10000       1               0:00:17.180          1519867     17.43                422           4.35
Benchmarks/BitAND  3          0              25000            10000       1               0:00:16.714          1519867     18.06                468           4.13
Benchmarks/BitAND  3          0              25000            10000       1               0:00:16.559          1519867     16.75                484           4.17
Benchmarks/BitAND  3          0              25000            10000       1               0:00:16.985          1519867     17.29                472           4.23
Benchmarks/BitAND  3          0              25000            10000       2               0:00:17.038          1519867     17.23                458           4.20
Benchmarks/BitAND  3          0              25000            10000       2               0:00:17.694          1519867     17.95                440           4.18
Benchmarks/BitAND  3          0              25000            10000       2               0:00:16.801          1519867     17.13                438           4.25
Benchmarks/BitAND  3          0              25000            10000       2               0:00:16.763          1519867     16.96                473           4.24
Benchmarks/BitAND  3          0              25000            10000       2               0:00:16.897          1519867     17.39                439           4.26
Benchmarks/BitAND  3          0              25000            10000       2               0:00:16.647          1519867     16.91                498           4.22
Benchmarks/BitAND  3          0              25000            10000       2               0:00:17.422          1519867     18.16                482           4.11
Benchmarks/BitAND  3          0              25000            10000       2               0:00:16.426          1519867     16.80                479           4.24
Benchmarks/BitAND  3          0              25000            10000       2               0:00:16.645          1519867     16.84                475           4.28
Benchmarks/BitAND  3          0              25000            10000       2               0:00:16.382          1519867     16.90                466           4.24
Benchmarks/BitAND  3          0              25000            10000       5               0:00:17.939          1519867     18.23                445           4.25
Benchmarks/BitAND  3          0              25000            10000       5               0:00:17.104          1519867     17.79                416           4.22
Benchmarks/BitAND  3          0              25000            10000       5               0:00:16.949          1519867     17.23                474           4.13
Benchmarks/BitAND  3          0              25000            10000       5               0:00:17.344          1519867     18.63                438           4.18
Benchmarks/BitAND  3          0              25000            10000       5               0:00:16.392          1519867     16.71                482           4.24
Benchmarks/BitAND  3          0              25000            10000       5               0:00:16.631          1519867     16.96                465           4.35
Benchmarks/BitAND  3          0              25000            10000       5               0:00:18.038          1519867     18.46                457           4.21
Benchmarks/BitAND  3          0              25000            10000       5               0:00:17.303          1519867     17.49                479           4.22
Benchmarks/BitAND  3          0              25000            10000       5               0:00:17.504          1519867     17.83                468           4.31
Benchmarks/BitAND  3          0              25000            10000       5               0:00:16.993          1519867     17.26                495           4.35
