comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        0           1           0               1             .000703      NA          .000069           .000097             .000152            .000833              5             504
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        1           1           0               1             .000465      .000081     .000046           .000049             .000066            .000833              4             714
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        0           1           0               1             .000257      NA          .000068           .000056             .000088            .000416              4             618
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        1           1           0               1             .000492      .000068     .000046           .000053             .000075            .000833              4             563
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        0           1           0               1             .000277      NA          .000067           .000121             .000172            .000416              4             664
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        1           1           0               1             .000498      .000046     .000040           .000048             .000064            .000833              4             530
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        0           1           0               1             .000465      NA          .000086           .000171             .000212            .000416              4             622
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        1           1           0               1             .000477      .000046     .000046           .000049             .000240            .000833              4             627
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        0           1           0               1             .000260      NA          .000080           .000066             .000086            .000416              4             718
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        1           1           0               1             .000481      .000056     .000038           .000045             .000065            .000833              4             470
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        0           1           0               1             .000176      NA          .000077           .000061             .000091            .000416              4             828
0.02          3                  1                  0    4        512       41        1         0         5         10000     10000     0              25000            2605        1           1           0               1             .000497      .000082     .000047           .000045             .000074            .000833              4             617
