comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.93;306;1;0;1;32;64;1;0;5;10000;10000;0;25000;500;0;0;0;1;.006420;NA;.002170;.003674;.003663;.010000;4;53
2.81;305;1;0;1;32;64;1;0;5;10000;10000;0;25000;500;0;0;0;1;.006216;NA;.002274;.002417;.002413;.010000;4;54
2.90;305;1;0;1;32;64;1;0;5;10000;10000;0;25000;500;0;0;0;1;.005998;NA;.002881;.003273;.003262;.010000;4;53
2.99;305;1;0;1;32;64;1;0;5;10000;10000;0;25000;500;0;0;0;1;.006448;NA;.001964;.004243;.004232;.010000;4;50
2.94;307;1;0;1;32;64;1;0;5;10000;10000;0;25000;500;0;0;0;1;.006381;NA;.001779;.008516;.008506;.010000;4;36
2.90;304;1;0;1;32;64;1;0;5;10000;10000;0;25000;500;0;0;0;1;.006277;NA;.001968;.004302;.004298;.010000;3;53
3.07;305;1;0;1;32;64;1;0;5;10000;10000;0;25000;500;0;0;0;1;.006359;NA;.001846;.003446;.003434;.010000;4;57
3.14;305;1;0;1;32;64;1;0;5;10000;10000;0;25000;500;0;0;0;1;.006205;NA;.001960;.005196;.005192;.010000;4;42
2.89;305;1;0;1;32;64;1;0;5;10000;10000;0;25000;500;0;0;0;1;.006146;NA;.002143;.003849;.003836;.010000;4;50
3.18;304;1;0;1;32;64;1;0;5;10000;10000;0;25000;500;0;0;0;1;.005428;NA;.002247;.003563;.003543;.010000;4;45
2.92;305;1;0;1;32;64;1;0;5;10000;10000;0;10000;500;0;0;0;1;.006282;NA;.001954;.004457;.004448;.010000;4;42
3.21;305;1;0;1;32;64;1;0;5;10000;10000;0;10000;500;0;0;0;1;.011266;NA;.001801;.002734;.002726;.010000;4;31
3.11;304;1;0;1;32;64;1;0;5;10000;10000;0;10000;500;0;0;0;1;.002709;NA;.002420;.002932;.002921;0;4;77
2.99;304;1;0;1;32;64;1;0;5;10000;10000;0;10000;500;0;0;0;1;.006271;NA;.001911;.002462;.002458;.010000;3;45
