comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.48;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000369;.000359;.000329;0;3;80
2.35;283;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000140;.000135;.000133;0;3;100
2.24;280;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000137;.000134;.000132;0;3;75
2.59;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000134;.000131;.000129;0;3;100
2.51;280;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000385;.000376;.000373;0;3;100
2.33;280;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000194;.000186;.000183;0;3;100
2.22;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000134;.000131;.000129;0;3;100
2.35;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000141;.000136;.000134;0;3;100
2.49;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000141;.000135;.000134;0;3;100
2.54;280;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000380;.000369;.000366;0;3;75
2.55;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000139;.000134;.000133;0;3;100
2.52;281;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000138;.000133;.000131;0;3;100
2.55;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000382;.000372;.000369;0;3;100
2.51;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000132;.000127;.000125;0;3;66
2.38;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000138;.000134;.000131;0;3;100
2.35;281;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000136;.000132;.000130;0;3;100
2.40;281;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000136;.000130;.000129;0;3;100
2.36;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000134;.000131;.000129;0;3;66
2.57;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000134;.000130;.000129;0;3;100
2.51;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000139;.000133;.000131;0;3;80
2.91;302;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000138;.000134;.000132;0;3;100
2.72;301;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000378;.000370;.000366;0;3;75
2.92;301;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000138;.000134;.000132;0;3;80
2.83;301;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000383;.000372;.000369;0;3;100
2.97;300;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000137;.000133;.000131;0;3;100
2.87;301;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000137;.000133;.000131;0;3;100
2.73;301;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000139;.000133;.000132;0;3;100
2.73;303;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000383;.000373;.000370;0;3;100
2.60;302;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000139;.000134;.000132;0;3;100
2.61;300;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000136;.000131;.000130;0;3;100
